,year,annual_anomaly
0,1985,0.09758333333333331
1,1986,0.23075
2,1987,0.3833333333333333
3,1988,0.53875
4,1989,0.41375
5,1990,0.6025833333333334
6,1991,0.60925
7,1992,0.25625000000000003
8,1993,0.2314166666666667
9,1994,0.48866666666666664
10,1995,0.6698333333333334
11,1996,0.47750000000000004
12,1997,0.6313333333333333
13,1998,0.89825
14,1999,0.6759166666666667
15,2000,0.6425833333333334
16,2001,0.8195833333333334
17,2002,0.9493333333333333
18,2003,0.8777499999999999
19,2004,0.76825
20,2005,1.0295833333333333
21,2006,1.0239166666666666
22,2007,1.0516666666666665
23,2008,0.88275
24,2009,0.9821666666666666
25,2010,1.0255833333333333
26,2011,0.9329999999999999
27,2012,0.9322500000000001
28,2013,0.9720833333333333
29,2014,1.0384166666666668
30,2015,1.2693333333333334
31,2016,1.4235833333333334
32,2017,1.2438333333333333
33,2018,1.1876666666666666
34,2019,1.3661666666666665
35,2020,1.40175
36,2021,1.2660833333333332
37,2022,1.2723333333333333
38,2023,1.3864
