,id_year,S_total_period,W_total_period,first_S,last_S,first_W,last_W,shortest_S_window,shortest_W_window,S_windows,W_windows,S_before_W,year
3,14542E_2001,27.0,15.0,96.0,132.0,242.0,288.0,35.0,45.0,1,1,1,2001
5,14542E_2003,16.0,0.0,55.0,90.0,-1.0,-1.0,35.0,-1.0,1,0,1,2003
15,14551E_1997,81.0,62.0,80.0,140.0,228.0,357.0,60.0,15.0,1,2,1,1997
16,14551E_1998,65.0,26.0,56.0,116.0,243.0,263.0,59.0,20.0,1,1,1,1998
18,14551E_2000,50.0,37.0,66.0,108.0,231.0,267.0,41.0,35.0,1,1,1,2000
20,14552D_1997,66.0,0.0,62.0,115.0,-1.0,-1.0,52.0,-1.0,1,0,1,1997
22,14552E_1999,70.0,78.0,49.0,166.0,233.0,365.0,53.0,23.0,2,2,1,1999
28,14554G_2004,24.0,27.0,68.0,85.0,249.0,273.0,16.0,24.0,1,1,1,2004
30,14555E_1995,42.0,0.0,61.0,95.0,-1.0,-1.0,33.0,-1.0,1,0,1,1995
33,14555G_1999,104.0,0.0,48.0,326.0,-1.0,-1.0,277.0,-1.0,1,0,1,1999
35,14559-W6_2002,98.0,0.0,20.0,94.0,-1.0,-1.0,73.0,-1.0,1,0,1,2002
41,16896A_2002,38.0,78.0,61.0,101.0,227.0,286.0,39.0,58.0,1,1,1,2002
42,16896A_2003,54.0,55.0,58.0,109.0,225.0,270.0,50.0,44.0,1,1,1,2003
43,16896A_2004,83.0,16.0,37.0,130.0,203.0,244.0,92.0,40.0,1,1,1,2004
46,16896A_2007,38.0,29.0,66.0,115.0,221.0,262.0,48.0,40.0,1,1,1,2007
47,16896A_2008,22.0,86.0,59.0,93.0,221.0,366.0,33.0,21.0,1,2,1,2008
50,16907A_2002,17.0,22.0,52.0,77.0,244.0,259.0,24.0,15.0,1,1,1,2002
51,16907A_2003,23.0,23.0,44.0,86.0,219.0,258.0,41.0,39.0,1,1,1,2003
59,1981-W3_2002,26.0,0.0,78.0,101.0,-1.0,-1.0,22.0,-1.0,1,0,1,2002
62,1982C_2002,42.0,0.0,31.0,61.0,-1.0,-1.0,29.0,-1.0,1,0,1,2002
71,27235A_2002,24.0,22.0,67.0,106.0,236.0,255.0,39.0,19.0,1,1,1,2002
77,54983B_2014,58.0,103.0,53.0,90.0,250.0,318.0,37.0,67.0,1,1,1,2014
82,77195A_2011,92.0,106.0,43.0,98.0,256.0,351.0,54.0,20.0,1,2,1,2011
83,77195A_2012,88.0,26.0,39.0,100.0,244.0,259.0,60.0,15.0,1,1,1,2012
87,90959B_2011,45.0,38.0,28.0,54.0,224.0,246.0,26.0,22.0,1,1,1,2011
98,90979B_2012,31.0,0.0,45.0,64.0,-1.0,-1.0,18.0,-1.0,1,0,1,2012
103,917920371_2012,65.0,62.0,76.0,166.0,217.0,354.0,24.0,15.0,2,2,1,2012
104,917920371_2013,67.0,0.0,61.0,105.0,-1.0,-1.0,43.0,-1.0,1,0,1,2013
118,91926B_2011,39.0,0.0,46.0,70.0,-1.0,-1.0,23.0,-1.0,1,0,1,2011
122,93411A_2010,65.0,46.0,52.0,97.0,230.0,262.0,44.0,32.0,1,1,1,2010
125,93412A_2010,95.0,91.0,64.0,159.0,228.0,358.0,94.0,27.0,1,2,1,2010
126,93412A_2011,120.0,0.0,51.0,127.0,-1.0,-1.0,76.0,-1.0,1,0,1,2011
132,Prinzesschen_2003,101.0,107.0,60.0,158.0,229.0,365.0,98.0,29.0,1,2,1,2003
134,Prinzesschen_2005,100.0,77.0,55.0,120.0,237.0,362.0,64.0,20.0,1,2,1,2005
135,Prinzesschen_2006,71.0,131.0,61.0,115.0,235.0,356.0,53.0,22.0,1,2,1,2006
