,total_distance,min_lat,max_lat,min_lon,max_lon,cluster
14542E_2001,6686.617965380094,33.843,48.053,-5.904,9.227,0
14542E_2003,3267.5265959806384,34.051,48.072,-5.83100000000002,9.484,0
14551E_1997,19684.465966434163,-1.647,54.453,17.836,39.97,1
14551E_1998,15937.566115979378,2.14,54.607,16.677,37.975,1
14551E_2000,13866.382648455156,9.871,54.309,20.961,38.18,1
14552D_1997,10564.570476603898,-20.777,40.421,22.696,36.635,1
14552E_1999,21315.985492592954,-24.399,51.765,16.374,37.571,1
14554G_2004,11827.075585570894,10.476,33.34,16.198,36.184,1
14555E_1995,4844.246033336626,11.122,30.55,16.419,33.205,1
14555G_1999,14305.036287976496,-23.386,38.677,15.841,35.784,1
14559-W6_2002,6156.259251512436,-34.035,-2.122,18.539,35.375,1
16896A_2002,16983.359502599393,11.501,53.111,11.875,39.726,1
16896A_2003,18326.08438531886,7.111,53.388,11.966,40.867,1
16896A_2004,19751.298699023402,2.63,52.987,11.561,41.931,1
16896A_2007,15615.294059288652,9.39,52.899,11.89,35.884,1
16896A_2008,19272.60791201182,-6.3,54.193,10.54,39.555,1
16907A_2002,6558.711338450673,36.852,52.344,-6.25799999999998,12.307,0
16907A_2003,6096.6702702108705,36.94,52.207,-6.339,12.352,0
1981-W3_2002,6387.974799187233,-33.875,-1.529,18.681,34.967,1
1982C_2002,4975.748247048283,-34.025,-1.991,18.522,34.421,1
27235A_2002,5969.979070204001,37.122,50.056,-6.57999999999998,2.77,0
54983B_2014,19041.40640001749,10.57083,54.382,9.255,37.09967,1
77195A_2011,19743.642516673066,3.988,52.24,11.169,37.84617,1
77195A_2012,17037.51202902711,3.30683,52.197,11.869,37.849,1
90959B_2011,11161.75067123119,11.862,37.327,-9.030329999999992,14.876,0
90979B_2012,4148.277251685587,14.17,37.365,-16.254,-5.743499999999983,0
917920371_2012,21903.017552598365,-7.41083,49.668,18.66417,38.207,1
917920371_2013,5165.15889173796,-5.064,18.39317,29.76,36.25483,1
91926B_2011,4265.029805778738,14.14383,37.962,-16.403,-5.61399999999998,0
93411A_2010,18875.201838597215,-3.109,51.959,12.077,42.24267,1
93412A_2010,21759.43548207015,-25.28,48.61133,18.427,36.56333,1
93412A_2011,10314.576756168512,-25.40017,42.649,23.604,36.66183,1
Prinzesschen_2003,26684.037810959104,-34.101,52.294,11.751,37.241,1
Prinzesschen_2005,22948.976363742353,-34.119,52.215,11.342,37.001,1
Prinzesschen_2006,24531.56075978488,-27.721,52.35,11.888,36.352,1
